Food,Category,Last_Date_Eaten,Days_Since_Eaten,Total_Count,Todoist_Priority
Chocolate,Other,2026-06-24,13,180,4
Oats,Other,2026-06-23,14,107,4
Peanut,Other,2026-06-15,22,69,4
Almond,Other,2026-06-20,17,66,4
Banana,Fruit,2026-06-30,7,62,4
Pumpkin Seed,Other,2026-06-22,15,58,4
Avocado,Fruit,2026-06-13,24,52,4
Brazil Nut,Other,2026-06-21,16,51,4
Strawberries,Fruit,2026-06-22,15,51,4
Sunflower Seed,Other,2026-06-24,13,51,4
Onion,Vegetables,2026-06-15,22,49,4
Tomato,Vegetables,2026-06-24,13,49,4
Cranberries,Fruit,2026-06-21,16,48,4
Blackberries,Fruit,2026-06-22,15,47,4
Hazelnut,Other,2026-06-24,13,44,4
Broccoli,Vegetables,2026-06-01,36,43,4
Walnut,Other,2026-06-16,21,42,4
Coconut,Other,2026-06-22,15,41,4
Sweet Potato,Vegetables,2026-06-05,32,40,4
Mushroom,Vegetables,2026-06-06,31,40,4
Pepper,Vegetables,2026-06-15,22,40,4
Pistachio,Other,2026-06-18,19,40,4
Cherries,Fruit,2026-06-23,14,37,4
Haricot Bean,Other,2026-06-24,13,30,4
Grape,Fruit,2026-06-18,19,27,4
Carrot,Vegetables,2026-06-01,36,24,4
Flaxseed,Other,2026-05-02,66,21,4
Pecan,Other,2026-06-24,13,19,4
Mango,Fruit,2026-06-21,16,18,4
Popcorn,Other,2026-06-21,16,16,4
Cucumber,Vegetables,2026-06-17,20,14,4
Sweetcorn,Vegetables,2026-05-30,38,11,4
Kidney Bean,Other,2026-06-05,32,11,4
Melon,Fruit,2026-01-03,185,10,4
Watermelon,Fruit,2026-01-05,183,10,4
Lentils,Other,2026-06-29,8,10,4
Kiwi,Fruit,2025-12-06,213,8,4
Pinto Beans,Other,2026-05-05,63,8,4
Edamame,Other,2026-01-08,180,7,4
Pak Choi,Vegetables,2026-05-27,41,7,4
Aubergine,Vegetables,2026-06-07,30,7,4
Parsnip,Vegetables,2025-12-25,194,6,4
Cabbage,Vegetables,2026-04-09,89,6,4
Black Beans,Other,2026-06-15,22,6,4
Pear,Fruit,2025-07-03,369,5,4
Green Beans,Vegetables,2026-01-10,178,4,4
Prunes,Fruit,2025-08-14,327,4,4
Spinach,Vegetables,2026-03-21,108,4,4
Olive,Vegetables,2026-06-06,31,4,4
Dates,Fruit,2026-06-19,18,4,4
Grapefruit,Fruit,2025-07-02,370,3,4
Nectarine,Fruit,2025-07-03,369,3,4
Spring Onion,Vegetables,2025-10-20,260,3,4
Brussels Sprout,Vegetables,2025-12-01,218,2,4
Courgette,Vegetables,2025-12-20,199,2,4
Kale,Vegetables,2026-02-01,156,2,4
Kimchi,Other,2025-04-25,438,2,4
Beetroot,Vegetables,2025-07-05,367,1,4
Orange,Fruit,2025-06-28,374,1,4
Pine Nut,Other,2025-12-13,206,1,4
Turnip,Vegetables,2026-01-01,187,1,4
Black Eyed Peas,Other,2026-02-16,141,1,4
Butternut Squash,Vegetables,2026-02-23,134,1,4
Butter Beans,Other,2026-06-05,32,1,4
Cannellini Beans,Other,2026-06-05,32,1,4
Red cabbage,Vegetables,2026-06-20,17,1,4
Artichoke,Vegetables,,999,0,4
Beansprouts,Vegetables,,999,0,4
Cauliflower,Vegetables,,999,0,4
Celery,Vegetables,,999,0,4
Dragonfruit,Fruit,,999,0,4
Fig,Fruit,,999,0,4
Lambs Lettuce,Vegetables,,999,0,4
Passion Fruit,Fruit,,999,0,4
Pomegranate,Fruit,,999,0,4
Quinoa,Other,,999,0,4
Rocket,Vegetables,,999,0,4
Rosa verde,Vegetables,,999,0,4
Rice,Other,2026-07-01,6,101,3
Apple,Fruit,2026-07-01,6,38,3
Coffee,Other,2026-07-04,3,224,2
Potato,Vegetables,2026-07-04,3,74,2
Blueberries,Fruit,2026-07-04,3,61,2
Raspberries,Fruit,2026-07-04,3,54,2
Chickpea,Other,2026-07-03,4,8,2
Peas,Vegetables,2026-07-04,3,6,2
